50 10
0.536 0.528 0.970 0.016 0.219 0.905 0.949 0.046 0.777 0.081 0.868 0.496 0.347 0.775 0.460 0.935 0.928 0.956 0.775 0.226 0.343 0.148 0.324 0.338 0.945 0.582 0.935 0.015 0.481 0.377 0.123 0.700 0.502 0.921 0.381 0.132 0.604 0.791 0.399 0.644 0.079 0.237 0.138 0.751 0.373 0.317 0.829 0.233 0.601 0.171
0.213 0.229 0.582 0.789 0.058 0.692 0.098 0.416 0.536 0.715 0.302 0.793 0.314 0.332 0.878 0.371 0.855 0.872 0.235 0.576 0.917 0.704 0.884 0.977 0.491 0.674 0.844 0.499 0.064 0.657 0.324 0.874 0.494 0.496 0.291 0.830 0.403 0.999 0.351 0.697 0.635 0.475 0.347 0.089 0.576 0.826 0.880 0.972 0.404 0.107
0.477 0.010 0.428 0.870 0.461 0.816 0.556 0.594 0.116 0.876 0.302 0.362 0.373 0.203 0.531 0.072 0.257 0.112 0.503 0.737 0.220 0.520 0.828 0.514 0.524 0.932 0.324 0.331 0.943 0.948 0.956 0.710 0.720 0.961 0.044 0.994 0.414 0.786 0.004 0.845 0.412 0.183 0.744 0.579 0.355 0.590 0.900 0.753 0.045 0.363
0.708 0.914 0.224 0.391 0.219 0.084 0.169 0.942 0.833 0.374 0.081 0.567 0.365 0.039 0.826 0.229 0.405 0.989 0.721 0.825 0.691 0.764 0.692 0.151 0.857 0.115 0.161 0.798 0.463 0.612 0.028 0.064 0.406 0.532 0.661 0.469 0.976 0.845 0.261 0.586 0.665 0.679 0.483 0.518 0.401 0.070 0.493 0.943 0.469 0.205
0.439 0.115 0.415 0.886 0.490 0.501 0.689 0.388 0.033 0.680 0.441 0.275 0.612 0.087 0.336 0.750 0.833 0.536 0.657 0.674 0.145 0.778 0.985 0.349 0.006 0.657 0.060 0.200 0.231 0.851 0.399 0.162 0.044 0.613 0.295 0.170 0.396 0.140 0.989 0.560 0.319 0.249 0.996 0.695 0.320 0.484 0.270 0.450 0.510 0.906
0.468 0.052 0.900 0.469 0.767 0.695 0.339 0.203 0.382 0.567 0.029 0.870 0.319 0.632 0.946 0.372 0.563 0.484 0.307 0.661 0.875 0.754 0.708 0.627 0.116 0.568 0.483 0.745 0.671 0.988 0.599 0.356 0.087 0.080 0.907 0.212 0.007 0.157 0.757 0.053 0.105 0.653 0.549 0.391 0.514 0.870 0.522 0.745 0.338 0.103
0.296 0.502 0.995 0.303 0.144 0.342 0.563 0.302 0.478 0.450 0.914 0.622 0.438 0.854 0.999 0.273 0.954 0.424 0.995 0.671 0.411 0.750 0.075 0.124 0.632 0.344 0.786 0.067 0.923 0.583 0.735 0.325 0.035 0.618 0.110 0.804 0.684 0.182 0.937 0.717 0.438 0.352 0.975 0.126 0.855 0.759 0.594 0.196 0.435 0.226
0.117 0.258 0.830 0.451 0.439 0.658 0.747 0.556 0.283 0.877 0.449 0.635 0.540 0.762 0.179 0.020 0.573 0.697 0.119 0.578 0.899 0.401 0.226 0.202 0.618 0.586 0.958 0.926 0.494 0.887 0.830 0.359 0.000 0.943 0.017 0.108 0.300 0.571 0.906 0.787 0.393 0.651 0.854 0.466 0.682 0.569 0.985 0.605 0.037 0.162
0.602 0.340 0.979 0.811 0.423 0.592 0.989 0.493 0.446 0.404 0.613 0.779 0.980 0.200 0.045 0.741 0.604 0.392 0.514 0.485 0.629 0.455 0.696 0.138 0.950 0.897 0.582 0.149 0.338 0.986 0.310 0.233 0.821 0.998 0.723 0.407 0.202 0.696 0.065 0.574 0.610 0.567 0.229 0.063 0.967 0.149 0.897 0.671 0.284 0.330
0.483 0.625 0.279 0.780 0.031 0.566 0.743 0.622 0.412 0.382 0.085 0.958 0.129 0.929 0.812 0.810 0.171 0.497 0.467 0.565 0.513 0.377 0.508 0.223 0.958 0.791 0.828 0.714 0.315 0.052 0.242 0.174 0.098 0.680 0.428 0.075 0.214 0.306 0.208 0.194 0.431 0.182 0.726 0.671 0.396 0.366 0.438 0.973 0.631 0.665
