50 10
0.104 0.255 0.351 0.549 0.426 0.675 0.303 0.845 0.849 0.161 0.845 0.583 0.526 0.816 0.776 0.792 0.951 0.904 0.040 0.531 0.452 0.803 0.092 0.932 0.040 0.884 0.825 0.233 0.070 0.561 0.162 0.451 0.952 0.951 0.569 0.994 0.344 0.284 0.073 0.069 0.111 0.398 0.988 0.587 0.974 0.364 0.332 0.847 0.712 0.276
0.928 0.554 0.554 0.542 0.987 0.573 0.675 0.970 0.373 0.473 0.316 0.869 0.552 0.902 0.869 0.267 0.394 0.542 0.968 0.867 0.479 0.864 0.370 0.867 0.087 0.047 0.090 0.070 0.391 0.915 0.340 0.257 0.475 0.751 0.145 0.012 0.397 0.256 0.911 0.822 0.299 0.279 0.377 0.937 0.284 0.027 0.059 0.173 0.587 0.102
0.353 0.251 0.619 0.588 0.061 0.270 0.724 0.009 0.594 0.937 0.669 0.122 0.952 0.434 0.795 0.746 0.124 0.856 0.007 0.072 0.480 0.886 0.934 0.809 0.962 0.856 0.092 0.114 0.501 0.188 0.255 0.620 0.999 0.680 0.213 0.362 0.067 0.150 0.541 0.348 0.582 0.790 0.054 0.193 0.117 0.299 0.710 0.888 0.561 0.842
0.394 0.266 0.074 0.142 0.332 0.246 0.413 0.093 0.161 0.336 0.002 0.374 0.527 0.625 0.917 0.192 0.680 0.160 0.522 0.733 0.478 0.786 0.681 0.397 0.860 0.723 0.161 0.899 0.030 0.966 0.970 0.213 0.851 0.880 0.359 0.035 0.524 0.806 0.128 0.355 0.447 0.663 0.536 0.000 0.131 0.012 0.013 0.779 0.355 0.804
0.957 0.640 0.321 0.331 0.025 0.947 0.098 0.844 0.218 0.349 0.732 0.162 0.428 0.797 0.493 0.891 0.338 0.885 0.577 0.810 0.223 0.159 0.705 0.031 0.549 0.899 0.592 0.472 0.872 0.929 0.056 0.063 0.963 0.676 0.417 0.495 0.503 0.344 0.432 0.215 0.727 0.682 0.427 0.094 0.105 0.536 0.218 0.170 0.392 0.406
0.850 0.189 0.966 0.473 0.220 0.949 0.127 0.111 0.441 0.779 0.633 0.314 0.623 0.424 0.959 0.025 0.496 0.006 0.353 0.089 0.531 0.867 0.598 0.850 0.013 0.015 0.735 0.903 0.413 0.783 0.446 0.347 0.587 0.904 0.204 0.370 0.726 0.504 0.789 0.736 0.710 0.534 0.403 0.770 0.128 0.487 0.421 0.223 0.490 0.200
0.708 0.313 0.970 0.134 0.886 0.637 0.931 0.891 0.958 0.565 0.813 0.169 0.919 0.486 0.173 0.363 0.158 0.590 0.058 0.351 0.711 0.610 0.160 0.823 0.464 0.008 0.285 0.483 0.387 0.028 0.318 0.672 0.389 0.826 0.897 0.837 0.883 0.558 0.067 0.124 0.511 0.009 0.363 0.940 0.680 0.854 0.554 0.927 0.252 0.123
0.104 0.094 0.246 0.409 0.811 0.031 0.041 0.841 0.242 0.607 0.485 0.813 0.458 0.668 0.344 0.546 0.228 0.379 0.852 0.643 0.484 0.320 0.619 0.122 0.885 0.750 0.401 0.285 0.551 0.136 0.843 0.351 0.210 0.069 0.052 0.898 0.522 0.538 0.933 0.145 0.968 0.930 0.990 0.207 0.353 0.905 0.349 0.810 0.727 0.926
0.334 0.729 0.901 0.582 0.650 0.046 0.209 0.309 0.561 0.354 0.898 0.991 0.133 0.910 0.592 0.297 0.297 0.045 0.765 0.146 0.191 0.307 0.819 0.916 0.661 0.671 0.862 0.782 0.352 0.468 0.528 0.267 0.540 0.185 0.479 0.206 0.018 0.891 0.937 0.381 0.313 0.327 0.181 0.752 0.984 0.291 0.423 0.844 0.540 0.146
0.364 0.144 0.138 0.940 0.554 0.675 0.353 0.183 0.504 0.945 0.161 0.818 0.656 0.390 0.003 0.718 0.370 0.715 0.268 0.887 0.255 0.145 0.892 0.569 0.656 0.050 0.585 0.640 0.902 0.371 0.719 0.990 0.895 0.015 0.797 0.285 0.348 0.377 0.178 0.376 0.399 0.018 0.544 0.587 0.817 0.425 0.119 0.228 0.489 0.820
